,happiness_score,economy_GDP_per_capita,family,health_life_expectancy,freedom,trust_government_corruption,generosity,Component 1,Component 2,Component 3,Segment K-means PCA,Segment
17,1.3534592790992674,0.8271542177574955,1.0207752869268132,1.1904849509467204,1.1455479010623393,1.4088828347452549,2.2290612830079866,-2.877338189356599,1.9418110636334238,-0.9968147470258054,0,high
18,1.3507686245891621,0.7624889355071162,0.7663514538959909,1.1960459674007298,0.929967151526461,0.85290313317768,0.18006373849748605,-2.4164746294627437,0.236836494003669,0.06824057198904818,0,high
19,1.3184807704678982,1.0369831773268676,0.28096711674544456,0.833251893960797,1.2997655698015602,2.3001824374529685,0.5420235601103089,-2.7237303500017123,1.4758911274223823,1.0082214601295159,0,high
20,1.2879866860200386,0.6672374803088852,0.7658050891865472,1.2490001240821933,1.0061040257989753,1.712357719715776,2.749822529469135,-2.7625414141203053,2.490715150456353,-1.1162962274735402,0,high
21,1.2754302983062138,0.8826505420768507,0.14762377404627935,0.6403178231049003,1.2425495187525128,1.7535848369665272,0.11872636326965488,-2.301184076373512,0.9959298135200754,1.0468599723253833,0,high
22,1.236864250328038,0.1567861957930093,0.6762012768378253,0.46502130443522793,-0.07711310374453897,-0.18192457356930192,-1.241525230589352,-1.0114647437668443,-1.3010114248400364,0.25503731395608115,2,medium
23,1.2261016322876173,1.2543495258721191,-0.04002215005256854,1.729654546248895,0.6579479190192122,3.2588707854261334,0.9472141023992442,-3.11458915368645,1.8523223050678514,1.161804124806515,0,high
24,1.2153390142471956,0.20111431571517766,0.5017895201454957,0.7807957387528269,0.6552264307473438,-0.3442168797708379,0.36927394682740583,-1.3885593649631551,-0.048625696441894725,-0.6394122799609153,2,medium
25,1.1830511601259326,0.8086784228288156,0.8079662325985982,1.1760844083382032,1.1261086991204206,0.7900250134320044,0.6967531535522671,-2.4391631948834958,0.6200504825317534,-0.24682426193242646,0,high
26,1.111300373189792,0.3013523971565971,0.2770818565894026,1.0379304995665795,0.002198840178489027,-0.0195420548573703,1.1428352793264231,-1.3095463540864267,0.40652997109415223,-1.013243335605319,2,medium
27,1.058384167824388,1.6416977837301125,0.13784991646623582,0.783783747593787,1.292184281044212,3.529327891591895,1.0743938578151428,-3.1545429326740764,2.3806455370022435,1.5081798649173253,0,high
28,1.026096313703125,0.693457482813392,0.6896175658141586,1.39989457055069,0.7071290999322665,0.6820406384885698,-0.6791793229567927,-2.1176870014646787,-0.5284780847155599,0.4772115429243547,0,high
29,1.0251994288664228,0.17808851158764358,0.652737947926727,0.7418686235747602,0.05675820029547399,-0.4151239129417148,-0.7555045031484865,-1.0383397021993648,-1.0895126286117407,-0.16090486842942514,2,medium
30,0.9633143751340014,0.46641661975946613,0.5258599209559756,0.9809093308515863,0.14682650262636399,-0.9412432735683732,-0.8217800568904228,-1.0762294255940696,-1.4502918038819925,-0.2879548579980376,2,medium
31,0.9453766783999666,0.1968170848051488,0.5333572589133387,0.8430044228167091,1.0538596652362895,1.0349519791558344,0.26583210216352104,-1.8135172775072446,0.6899954654999719,0.20773493886353178,0,high
32,0.9382015997063525,-0.1319095898898319,0.6283033039766185,0.3415584391316587,0.6070172099313855,-0.7185987979122359,-0.15339326327076547,-0.8073256957277885,-0.47331525055913537,-0.5573484820176043,2,medium
33,0.9184701332989136,-0.02093992109555997,0.7037623410697492,0.5396385252136539,0.749441762825843,-0.8929795805067713,3.2451998056735682,-1.1382133121538107,1.7688219053496632,-2.8009402892219986,0,high
34,0.8790072004840357,0.9637693929453083,0.15402838258475524,0.4639008011198674,-0.8456095538483906,1.7535848369665272,-0.560143230353629,-1.2951533394626473,-0.16088031732132443,1.0730108079606762,2,medium
35,0.8054626438744915,0.5839125643743169,0.8517361165440107,1.440689191254357,0.12006520128632246,-0.6033072096267644,-0.1684677029454021,-1.5016525642314411,-1.0358125690846975,-0.729461112917492,2,medium
36,0.7812467532835439,0.5317253376541281,0.8160402888603736,1.1567868512403348,1.0540540572557084,0.045140315096215876,2.735960975745331,-1.9813310183422368,1.7109142292107415,-1.9678685868918042,0,high
37,0.7776592139367373,0.7237908774724188,0.13047399288874978,1.1073602049961158,-0.2823910762512004,-0.44714935413212353,0.4508838443762997,-1.053351078729958,-0.44912421551795506,-0.7038935338408877,2,medium
38,0.7749685594266319,1.3287123024756113,0.40295821492617395,0.48328135846331866,0.7387502017577874,1.1297653275815234,-0.34165048978217377,-1.907484231397722,0.08187410377660093,0.9179147113604118,0,high
39,0.7516495536723863,0.04441475648797906,-0.18571940590414907,-0.0011080747545833894,1.0081775406727806,0.049380303084805184,-0.27554820546178516,-0.6731278533860529,0.19681044146883092,0.48573276244569447,2,medium
40,0.6610641851655086,0.5419054087404527,0.4563805420717536,0.02640650665592639,0.7636971775832498,-1.0776445892863957,1.0112371536610623,-0.7768939827453086,0.18460912724233006,-1.165507286665257,2,medium
41,0.6269825613708415,-0.4859600531562121,-0.024632877403245643,0.28594827459156386,-0.2428646989692988,-0.11814432871967095,-0.8212602486257801,-0.051279222503822205,-0.6806038690398414,0.24773441944421826,2,medium
42,0.6207043675139294,-0.529644737434098,0.03149091969458225,0.14849986790738864,0.8835074588852753,-0.32599395267094344,0.6339429882412819,-0.40098925617863435,0.638922638046642,-0.5412895818123886,2,medium
43,0.5130781871097182,-0.7895237981908639,0.9325980935416379,-0.04460020343967232,1.4075883432394023,1.6004039943149384,0.23091831372169058,-1.1969874192786165,1.387101407116118,0.3734946183021077,0,high
44,0.5059031084161041,0.443275916409739,0.7187873705794434,0.7492971455543702,-0.8000570239644944,-0.870967727970265,-0.28403840711761497,-0.5242758757029673,-1.344563413316481,-0.8388815776289553,2,medium
45,0.49872802972249,0.677279672328578,0.6797222938542387,1.5879731270400264,0.35748265433695586,0.44875108660576146,-0.820133997385721,-1.735490510161157,-0.8878340782687416,0.36351140718881786,2,medium
46,0.4960373752123846,0.6172333388103687,-0.2290036323300559,1.4811933110984856,-0.7056472998665761,-0.4716871569597043,-0.13987824839005686,-0.7091972687855101,-0.9864594539284276,-0.33466108452334464,2,medium
47,0.4879654116820685,-0.2573565606804576,-0.10367363870272786,0.7564766667972328,0.29002862359849824,0.4514574619176269,-0.747707379178847,-0.6156289407043802,-0.29338274148196986,0.62513521411311,2,medium
